Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
SPAdes_contigs	52	52	52	0	0	0	0	0	0	20	2424627	115	0	0	0	39217	1392	1235	157	6204
SPAdes_scaffolds	51	51	51	0	0	0	0	0	0	18	2390006	114	0	3	0	39218	1395	1237	158	6289
MULKSG_contigs	52	52	52	0	0	0	0	0	0	20	2424627	115	0	0	0	39217	1392	1235	157	6204
MULKSG_scaffolds	51	51	51	0	0	0	0	0	0	18	2390006	114	0	3	0	39218	1395	1237	158	6289
