Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# unaligned contigs	Unaligned length	# N's per 100 kbp	NGA50
spades_ctg	327	46	44	40	35	30	5252822	5137864	5131429	5106903	5016694	4851808	76	333936	5156457	23319	64.00	67.86	213410	333936	110851	333936	10	1	19	1	76 + 0 part	5156457	0.00	-
mulksg_ctg	320	38	35	31	27	25	5252964	5137673	5129782	5102681	5028526	4974310	66	501123	5154699	23319	64.01	67.86	278487	501123	144514	501123	7	1	14	1	66 + 0 part	5154699	0.00	-
