Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
spades_ctg	6	6	6	0	0	0	0	0	0	3	366493	45	0	0	17	74238	699	637	62	2021
mulksg_ctg	6	6	6	0	0	0	0	0	0	3	366493	45	0	0	17	74236	699	637	62	2021
