Assembly	SPAdes_contigs	SPAdes_scaffolds	MULKSG_contigs	MULKSG_scaffolds
# fully unaligned contigs	173	161	176	164
Fully unaligned length	10203511	10072584	10205348	10074421
# partially unaligned contigs	39	39	39	39
Partially unaligned length	3343378	3474159	3343378	3474159
# N's	0	1672	0	1672
