Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
spades_scf	1	1	1	0	0	0	0	0	0	1	166802	1	1	1	2	299	61	56	5	268
mulksg_scf	1	1	1	0	0	0	0	0	0	1	166802	1	1	1	2	287	61	56	5	268
