Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# unaligned contigs	Unaligned length	# N's per 100 kbp	NGA50
spades_scf	325	44	42	38	34	29	5252771	5137813	5131378	5106852	5032670	4867784	74	549292	5156406	23319	64.00	67.86	213410	549292	110851	549292	9	1	18	1	74 + 0 part	5156406	1.94	-
mulksg_scf	316	34	31	27	24	22	5253085	5137794	5129903	5102802	5044674	4990458	62	813624	5154820	23319	64.01	67.86	340265	813624	151527	813624	5	1	11	1	62 + 0 part	5154820	5.70	-
